book1	chapter1	verse1	book2	chapter2	verse2	similarity
Judices	17	6	Chronica_II	28	16	61
Numeri	16	29	Jesaia	2	12	61
Leviticus	18	15	Leviticus	19	7	65
Leviticus	14	33	Psalmi	116	18	61
Numeri	10	32	Ezechiel	26	18	61
Chronica_I	24	14	Chronica_I	24	15	62
Samuel_II	15	33	Jeremia	32	38	62
Genesis	34	14	Reges_I	9	13	61
Psalmi	34	13	Iob	38	36	62
Exodus	19	25	Numeri	5	11	63
Jeremia	13	3	Ezechiel	17	11	91
Ezechiel	18	1	Psalmi	47	6	62
Exodus	17	4	Numeri	12	13	64
Leviticus	22	26	Ezechiel	36	16	79
Samuel_II	13	26	Chronica_II	6	6	60
Iob	21	31	Proverbia	20	12	64
Reges_I	22	37	Psalmi	106	14	61
Deuteronomium	33	14	Deuteronomium	33	15	61
Judices	6	4	Threni	2	14	61
Numeri	32	2	Reges_I	1	19	60
Jeremia	18	8	Ecclesiastes	8	11	63
Jesaia	24	3	Jeremia	22	1	69
Ezechiel	17	8	Chronica_I	14	10	60
Jeremia	11	6	Jeremia	35	13	61
Ezechiel	39	10	Ezechiel	43	27	60
Samuel_I	29	10	Jeremia	17	6	60
Genesis	16	7	Jeremia	46	8	60
Reges_II	3	16	Jeremia	46	1	61
Deuteronomium	13	19	Deuteronomium	15	5	69
Jesaia	57	2	Iob	29	3	64
Genesis	34	16	Psalmi	136	25	62
Leviticus	7	11	Daniel	3	32	62
Deuteronomium	27	11	Jeremia	16	20	62
Genesis	17	22	Jeremia	7	22	60
Numeri	9	9	Samuel_II	22	2	65
Exodus	35	3	Chronica_II	33	10	60
Judices	3	8	Judices	3	10	61
Ezechiel	28	3	Psalmi	21	5	61
Exodus	24	15	Numeri	31	31	64
Reges_II	21	10	Jeremia	29	30	64
Numeri	15	18	Deuteronomium	32	52	60
Numeri	8	1	Deuteronomium	32	48	69
Sacharia	8	1	Iob	40	1	60
Numeri	19	7	Numeri	31	24	62
Micha	5	9	Sacharia	14	6	66
Numeri	5	1	Psalmi	119	123	62
Leviticus	24	13	Reges_I	21	17	71
Exodus	40	12	Leviticus	19	21	64
Leviticus	8	36	Numeri	12	3	62
Genesis	5	5	Genesis	35	28	61
Exodus	6	2	Leviticus	22	1	70
Reges_II	15	22	Chronica_II	12	16	70
Reges_I	15	8	Reges_II	15	22	66
Proverbia	9	15	Proverbia	29	12	63
Jeremia	49	19	Jeremia	50	44	100
Numeri	13	6	Numeri	13	14	65
Deuteronomium	1	26	Iob	15	13	61
Numeri	8	23	Numeri	26	52	100
Psalmi	77	11	Iob	10	14	62
Jeremia	27	4	Ezechiel	11	5	62
Leviticus	20	1	Jeremia	35	12	86
Psalmi	119	105	Iob	33	13	64
Psalmi	8	8	Psalmi	118	6	60
Numeri	1	9	Esra	2	46	61
Numeri	22	23	Chronica_I	21	16	60
Proverbia	13	14	Proverbia	14	27	89
Numeri	3	11	Ezechiel	33	1	79
Leviticus	4	1	Psalmi	25	4	61
Leviticus	14	47	Jesaia	66	18	64
Josua	21	20	Chronica_I	6	51	73
Leviticus	18	11	Psalmi	113	9	62
Numeri	16	20	Ezechiel	21	1	67
Psalmi	20	4	Psalmi	96	5	60
Psalmi	107	42	Iob	21	5	60
Ezechiel	22	6	Proverbia	1	16	60
Numeri	27	22	Reges_II	11	9	61
Numeri	6	10	Esther	9	11	62
Numeri	32	2	Jesaia	38	15	60
Numeri	34	7	Ezechiel	48	7	61
Psalmi	18	22	Iob	10	2	60
Psalmi	55	2	Proverbia	3	34	64
Numeri	10	1	Ezechiel	12	21	79
Jesaia	45	10	Iob	11	7	62
Exodus	1	6	Jesaia	7	12	60
Reges_I	5	29	Chronica_II	2	1	69
Psalmi	130	3	Threni	3	37	65
Samuel_II	7	4	Reges_I	21	28	63
Psalmi	18	42	Iob	21	2	62
Numeri	6	1	Psalmi	31	22	60
Numeri	34	24	Chronica_I	6	19	60
Jeremia	29	30	Ezechiel	11	14	89
Genesis	35	13	Psalmi	65	2	61
Chronica_I	6	33	Chronica_I	23	26	61
Exodus	31	12	Psalmi	118	6	61
Ezechiel	12	21	Ezechiel	35	1	100
Genesis	21	29	Chronica_II	18	24	60
Numeri	35	9	Jeremia	24	4	79
Leviticus	5	14	Numeri	17	16	100
Threni	3	47	Nehemia	3	22	60
Deuteronomium	1	9	Deuteronomium	8	6	61
Psalmi	78	46	Psalmi	91	10	60
Jeremia	16	20	Chronica_II	2	4	60
Leviticus	26	23	Jesaia	44	10	61
Psalmi	148	3	Iob	22	12	62
Josua	18	23	Psalmi	90	11	65
Ezechiel	20	38	Ezechiel	32	15	61
Genesis	21	30	Josua	17	12	61
Numeri	22	13	Numeri	23	3	60
Ezechiel	12	28	Ezechiel	20	3	62
Jeremia	32	26	Psalmi	33	4	67
Esra	2	49	Chronica_I	6	36	70
Exodus	22	19	Psalmi	44	9	62
Leviticus	16	34	Samuel_I	25	31	61
Ezechiel	21	4	Ezechiel	36	10	63
Deuteronomium	31	8	Daniel	8	6	61
Genesis	30	22	Psalmi	115	6	62
Leviticus	23	34	Leviticus	27	2	61
Exodus	7	8	Esther	10	1	60
Exodus	30	11	Ezechiel	25	1	79
Psalmi	89	25	Iob	15	12	63
Iob	31	31	Proverbia	30	7	63
Ezechiel	28	11	Ezechiel	30	1	100
Exodus	30	11	Deuteronomium	2	2	76
Leviticus	27	1	Ezechiel	12	17	79
Reges_II	12	15	Chronica_II	24	8	61
Exodus	34	2	Deuteronomium	1	6	65
Reges_I	6	14	Threni	3	5	61
Psalmi	8	1	Psalmi	19	1	79
Jeremia	18	5	Ezechiel	36	16	100
